Code," Intitulés de la  NAF rév. 2, version finale"
0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
0112Z,Culture du riz
0113Z,"Culture de légumes, de melons, de racines et de tubercules"
0114Z,Culture de la canne à sucre
0116Z,Culture de plantes à fibres
0119Z,Autres cultures non permanentes
0121Z,Culture de la vigne
0122Z,Culture de fruits tropicaux et subtropicaux
0123Z,Culture d'agrumes
0124Z,Culture de fruits à pépins et à noyau
0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
0126Z,Culture de fruits oléagineux
0127Z,Culture de plantes à boissons
0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
0129Z,Autres cultures permanentes
0130Z,Reproduction de plantes
0141Z,Élevage de vaches laitières
0142Z,Élevage d'autres bovins et de buffles
0143Z,Élevage de chevaux et d'autres équidés
0144Z,Élevage de chameaux et d'autres camélidés
0145Z,Élevage d'ovins et de caprins
0146Z,Élevage de porcins
0147Z,Élevage de volailles
0149Z,Élevage d'autres animaux
0150Z,Culture et élevage associés
0161Z,Activités de soutien aux cultures
0162Z,Activités de soutien à la production animale
0163Z,Traitement primaire des récoltes
0164Z,Traitement des semences
0170Z,"Chasse, piégeage et services annexes"
0311Z,Pêche en mer
0312Z,Pêche en eau douce
0321Z,Aquaculture en mer
0322Z,Aquaculture en eau douce
1011Z,Transformation et conservation de la viande de boucherie
1012Z,Transformation et conservation de la viande de volaille
1013A,Préparation industrielle de produits à base de viande
1013B,Charcuterie
1020Z,"Transformation et conservation de poisson, de crustacés et de mollusques"
1031Z,Transformation et conservation de pommes de terre
1032Z,Préparation de jus de fruits et légumes
1039A,Autre transformation et conservation de légumes
1039B,Transformation et conservation de fruits
1041A,Fabrication d'huiles et graisses brutes
1041B,Fabrication d'huiles et graisses raffinées
1042Z,Fabrication de margarine et graisses comestibles similaires
1051A,Fabrication de lait liquide et de produits frais
1051B,Fabrication de beurre
1051C,Fabrication de fromage
1051D,Fabrication d'autres produits laitiers
1052Z,Fabrication de glaces et sorbets
1061A,Meunerie
1061B,Autres activités du travail des grains
1062Z,Fabrication de produits amylacés
1071A,Fabrication industrielle de pain et de pâtisserie fraîche
1071B,Cuisson de produits de boulangerie
1071C,Boulangerie et boulangerie-pâtisserie
1071D,Pâtisserie
1072Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation"
1073Z,Fabrication de pâtes alimentaires
1081Z,Fabrication de sucre
1082Z,"Fabrication de cacao, chocolat et de produits de confiserie"
1083Z,Transformation du thé et du café
1084Z,Fabrication de condiments et assaisonnements
1085Z,Fabrication de plats préparés
1086Z,Fabrication d'aliments homogénéisés et diététiques
1089Z,Fabrication d'autres produits alimentaires n.c.a.
1101Z,Production de boissons alcooliques distillées
1102A,Fabrication de vins effervescents
1102B,Vinification
1103Z,Fabrication de cidre et de vins de fruits 
1104Z,Production d'autres boissons fermentées non distillées
1105Z,Fabrication de bière
1106Z,Fabrication de malt
1107A,Industrie des eaux de table
1107B,Production de boissons rafraîchissantes
