intitule_naf,id
"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",347
Élevage d'autres bovins et de buffles,125
Culture et élevage associés,100
Élevage d'autres animaux,42
Élevage d'ovins et de caprins,27
"Culture de légumes, de melons, de racines et de tubercules",23
Boulangerie et boulangerie-pâtisserie,21
Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,15
Élevage de volailles,14
Élevage de vaches laitières,13
Culture de fruits à pépins et à noyau,8
Culture de la vigne,8
"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",5
Transformation et conservation de la viande de boucherie,5
Production de boissons alcooliques distillées,4
Transformation et conservation de fruits,4
Aquaculture en eau douce,2
"Fabrication de cacao, chocolat et de produits de confiserie",2
Fabrication de glaces et sorbets,1
Meunerie,1
Fabrication de condiments et assaisonnements,1
Transformation du thé et du café,1
Fabrication de cidre et de vins de fruits,1
Fabrication de bière,1
Transformation et conservation de la viande de volaille,1
"Fabrication de biscuits, biscottes et pâtisseries de conservation",1
Fabrication d'autres produits alimentaires n.c.a.,1
Cuisson de produits de boulangerie,1
Charcuterie,1
